id;address;category;description;title
1010;Northam & Wheatbelt;Trades & Services;We are seeking an energetic and experienced Spray Painter for our professional and friendly team. A reputable company based in the wheatbelt/Cundernin area is looking for an experienced Spray Painter to join their team.Â  Qualifications are not essential but experience in spray painting in a professional environment is required.Â  This is an opportunity to work for a team focused company, with modern equipment and a safe working environment. An excellent salary will be offered to the right person. This business prides itself on their high quality finished products and and speedy turnover.Â  This job is immediately available. Take the opportunity now to join a fast paced dynamic role. ;Spray Painter
1011;Brisbane;Mining, Resources & Energy; Complete Belting Solutions Pty Ltd is an Australian conveyor and asset maintenance management company that manufactures and supplies products and technical services to industrial, quarry and mine sites across Australia. We currently have an opportunity for an operations coordinator to focus on the planning, organisation and scheduling of work undertaken by our BrisbaneÂ service team. This position also involves business development management and ad hoc onsite work as required. The key purposeÂ of this role will be to support our operations by combining service coordination (i.e. ensuring that the service team provides quality and efficient service to customers in the most cost-effective manner), 'hands on' technical and customer service support (i.e. building and maintaining relationships with new and existing customers).Â  The successful candidate will also have the opportunity to work on site and during major shut downs as required. The successful applicant will have a strong focus on customer service, strong time management skills and the ability to multi-task. Excellent communication skills and intermediate computer skills are essential for this role. Â  This diverse role will see you: Schedule, plan, organise and prepare for all service department activities on a daily basis, including purchasing, rostering, etc Breakdown coordination Project coordination Resource management Conduct business development activities, including meeting with prospective customers and management of current customer accounts Liaise with contractors Assist with work on site and in the workshop as required Ensure timely service and order delivery and complete customer satisfaction Oversee the management of stock, including the creation of inventory reports and regular stock checks Adhere to company policies and procedures Ensure that the company's workplace health and safety policies are upheld and that obligations are met Mentor and coach our team of belt technicians Â  Suitable applicants will possess the following qualities: Demonstrated experience in operations planning in a fast-paced environment Specific industry experience would be highly advantageous, as would a demonstracted understanding of belt splicing Sales and customer service experience Proven ability to manage human and plant resource scheduling Commitment to quality and concern for job-turnaround and customer downtime Enthusiasm and commitment to the efficient operations of a service business Ability to manage customer expectations Ability to motivate and manage a team High level communication, customer service and interpersonal skills Excellent time management and organisational skills + the ability to multi-task in a dynamic environment Strong attention to detail Ability to work autonomously without direction, as well as part of a team Strong problem-solving skills and confidence in making sound decisions in a fast-paced environment Self-motivated with a strong work ethic Sound conveyor product and service knowledge would be an advantage but not necessary Basic fabrication / mechanical skills would be an advantage but are not necessary Commitment to the highest Work Health Safety and Environment standards in all activities, with the ability to apply workplace health and safety policies and procedures The ability to operate at a high-level even when under pressure A responsible attitude, with a willingness to be held accountableÂ  Strong levels of numeracy and literacy competency Intermediate level of computer literacy A valid driver licence A current forklift licence would be favourable but is not essential Â  Please note that applicants without a current drivers licence will not be considered. Please note that candidates may be required to undertake a pre-employment medical evaluation and submit to a drug and alcohol test. If you believe that you have what it takes to succeed in this role, please send your resume to admin@completebelting.com.au ;Operations Co-Ordinator
1012;Melbourne;Construction;Our client is a leader in Recycling Services and are currently seekingÂ aÂ Yard PersonÂ Excavator Operators/All Rounder to join their growing team. Â Â Â  This position will be temporary to permanent for the successful applicant and will commence ASAP!! Â Â  With this hands on role, you will be responsible for a variety of manual tasks to assist in the day to day running of the yard, including,Â picking and sorting recyclables, excavator operation, loading and unloading trucks - stock piling - feeding plant machinery and other duties where required.Â Â  Â Â  Your daily duties and required experienceÂ below. Â  Strong work ethicÂ  Excavator licence Front end loader licence forklift licence and experienceÂ  Cleaning copper Load and unload trucks Loading bins on trucks Be looking for full time opportunityÂ  Be available to work Monday - Saturday Be Reliable and Punctual Have own reliable transportation Be available to commence ASAP Previous experience using plant machinery On offer is excellent pay rates, chance to go permanent with the client, ongoing work, great team and management, good working conditions and the chance to advanceÂ your career.Â  This role will start as a part timeÂ casual working on a 38 hour a week as aÂ minimum with hours likely to increase over the coming months. In this role attitude is everything!! Â  Â  This positionÂ is looking to be filledÂ ASAP so please make sure youÂ apply immediately to secure your interview.;Yard Person X 3 - Immediate Start $$$$
1013;Brisbane;Design & Architecture;"About the Organisation Oxworks is an Australian organisation that manufactures and supplies factory direct fencing, gates, screens, and balustrades. They specialise in the manufacture of glass, aluminium & steel products for home improvement and major project works. Oxworks stock a range of products and fencing supplies from DIY to Commercial projects. About the Role Oxworks now has two opportunities for full-time Draftsperson to join their team in Crestmead, Brisbane. This fast-paced and autonomous role will see you executing hands on mechanical drafting (2D & 3D) to support estimation and drawing final designs, to specification, that are suitable for sale and manufacture. More specifically, some of your day to day duties will include (but will not be limited to): Researching materials, equipment and labour cost; Insuring drafting style consistency between drawings as per AST drafting standards; Verifying the nominal fits of all parts as they are detailed from an overall layout; Plotting and managing 3D files, original plots, and part programs, and managing the electronic file backups; Creating thorough detail and assembly drawings from designer layouts for fabrication; and Converting hand sketches into 2D and 3D using established drafting standards. About the Benefits In return for your hard work and dedication, you will be rewarded with an attractive remuneration circa $60,000 - $70,000 (commensurate with skills and experience) plus super! Oxworks highly value their employees and want to see you succeed. You'll enjoy career stability, along with ongoing opportunities to develop your skills and expand your knowledge, while also making a direct contribution to the success of the company - the more drawings you produce, the more work is brought in! In addition, you will enjoy working in a varied and dynamic role as part of an innovative organisation. If you're looking to take your drafting career to the next level with an expanding company - Apply Now!";Draftsperson - Oxworks - Crestmead, Brisbane
1014;Sydney;Trades & Services;"Senior Project Manager Our client is one of the largest leading integrated protective and electronic security solutions providers in the world. With over 50 yearsâ€™ experience and offices around the globe our client truly is one of the industry leaders in Australia. Due to a substantial amount of new installation projects won around the Sydney region our client is in the market for an experienced Project Manager to join their well established and global network. Responsibilities; Prepare and maintain project plans Responsible for all project costs. Establish a project team to execute the project plan and deliver works. Manage all phases of assigned projects. Deliver the forecast gross profit position and assigned projects What you will possess; Vast understanding of IP - based CCTV , Access Control Experience in running multi projects. Project Manager's (Electrical and Mechanical will also be considered ) Project management Installations experience - Projects between 300k - 1m A willingness to exceed in every part of the project. 3 yearsâ€™ experience in a similar role. Outstanding Communication and client liaising Whatâ€™s on Offer; Exceptional Salary package $110K- $120K + Super + Vehicle Allowance Project Delivery Bonuses Fantastic career progression into senior roles. Great work / life balance If you feel that you fit these criteria's and would be up for a challenge, please send through your current resume to rob@designandconstruct.com.au or call Rob on 0416147810 to discuss the";Project Manger
1015;Melbourne;Trades & Services;Based in Seaford Victoria, WJD Services Pty Ltd is a highly respected and well renowned business that has been operating for over 30Â years. WJD Services core focus is the delivery of exceptional service within the Security Technology sector to both private and government organisations incorporating development, installations, solution planning and design with the most current available technology. Â  We now have an opportunity for a mature minded, self motivated person to join our expanding team as a full time ExperiencedÂ Electronic Security Technician for installation and service of our security equipment. If youÂ wantÂ to take the next step in your career and run projects and our techniciansÂ from start to finish this job is for you. Â  On offer: Full time position with Monday - Friday working hours Competitive Salary Fully maintained company vehicle and tools. Mobile phone On going training and development opportunities. Established team environment Â  You would need to have: Experience in Electronic Alarm Installation & Servicing Work successfully in a team environment.Â  Have a positive, constructive work ethic Be meticulously organised Have a high standard of professionalism Have TCP/IP, network and router skills. Have all relevant licenses You MUST have experience on and are able to work unaided with: Tecom Challenger Inner Range Integriti Inner Range Inception Paradox Series Panels NX Series Panels HikvisionÂ CCTV Â  The successful applicant must have experience in the installation of Security Alarm and CCTV systems. Â  Â  If you feel you have the commitment, experience and ability to fill this position, please email admin@wjdservices.com.au with all your details. Â  Â  All applications will be treated within the strictest of confidence. Only shortlisted applicants will be contacted.;Electronic Security Technical Install Manager
1016;Port Hedland, Karratha & Pilbara;Mining, Resources & Energy;"From our origins in 1898, RCR has grown to become one of Australiaâ€™s most diversified engineering and infrastructure companies, providing intelligent engineering solutions to the Infrastructure, Energy and Resources sectors. Through our in-house expertise we provide a comprehensive range of solutions for our customers. The RCR team has over 3,400 people supporting major projects across our extensive network of operations in Australia, New Zealand and SE Asia. ABOUT THE ROLE We currently require a Mechanical Supervisor with a back ground in hydraulics, fixed plant iron ore, mobile plant track machinery and mechanical rigging within the Mining Manufacturing Industry to join our talented team based in Port Hedland, WA. This is a permanent position, so we are looking for a candidate who is local to Port Hedland for this role. DUTIES Provide clear direction to workers under your control Prepare and complete any required documentation during the shift for QA, recordkeeping, timesheet entry and handover purposes. Participate in a structured hand over process with oncoming or off going shift as and when required Effectively communicate with other workshop supervision personnel and management. Ensure any required QA, MDP and job status documentation is completed during the shift Undertake other planning and preparation roles as requested and agreed. SKILLS & EXPERIENCE Previous experience working in a similar environment. Trade Qualification Experience in mechanical rigging, fixed plant iron ore and mobile plant track machinery. SAP Experience Ability to respond to a changing environment. Targeted estimation skills are highly desirable - e.g.: valves, gearboxes etc. RCR is a company built on integrity with an absolute commitment to safety, performance excellence and developing productive, sustainable, mutually beneficial partnerships with our employees, clients and the wider community. Our Values: Integrity in all aspects of our business while maintaining the highest professional standards; Mutual respect of our employees, customers, shareholders, the community and other stakeholders; Open and honest communication; and Commitment to our goals Please visit us at rcrtom.com.au";Mechanical Supervisor
1017;Gosford & Central Coast;Call Centre & Customer Service;Freedom Kitchens requires a highly motivated customer service officer to guide customers through the different stages of their kitchen build. This is aÂ 6 month full time contract role with possibleÂ extensionÂ for the right person. To be successful in the role, you will be required to have the following experience: Min. 2 years customer service experience Excellent written and verbal communication skills Ability to multi-task and remain calm under pressure Ability to work within timeframes and to KPIs Ability to work well in a team and individually Computer literate â€“ Microsoft Office Recent graduates and school leavers are encouraged to apply for this entry-level role in our busy office/admin environment.Â  To be considered for the position, please attach a cover letter that outlines how you meet the role requirements listed above. Freedom Kitchens is an equal opportunity employer. Only candidates successful for an interview will be contacted. Â;Customer Liaison Officer
1018;Sydney;Marketing & Communications;"As an innovative fin-tech, Squirrel have been disrupting the SMSF (Self-managed Superfund) sector since we launched our platform in 2014. Our company is growing rapidly and we are now seeking a switched on marketing professional for this newly created role of Digital Content Coordinator. This is not an entry level role and the successful candidate must be able to hit the ground running with Â 2+ years experience working in a social media, content and marketing roles. The Role - You will work within the digital marketing team to create scroll-stopping content for all of our digital marketing campaigns. Key Competencies Social Media content creation (including basic graphic design and video content) across Facebook, Twitter, Google + and Youtube for both organic and paid content. Platform management, monitoring, engagement across the above platforms. Analytical reporting and monitor key trends and insights. Up to date on SEO best practice Experience in designing and managing paid social media campaigns as well as Search and Display favourable. Experience across all social media platforms and understanding of monitoring and analytical tools. E.g. listening tools, Google Analytics and Search Console, Facebook Insights, Twitter Analytics, SEMRush or MOZ. Creating outstanding copy and blogs for websites, all social channels and marketing material. Coordinate and produce webinars Website content management experience, in particular WordPress Producing and managing email marketing campaigns. Ownership of monthly newsletter sent to all clients; from planning to execution Develop content and channel recommendations based on insights and changing digital media trends. Â  About You Two years plus experience in social media and content coordinator or executive role. Be an excellent oral and written communicator. Have a passion for digital marketing for business. Ability to meet tight deadlines and willingness to be flexible Be a proactive learner, always keeping up to date on digital marketing advancements Have strong organisational skills, initiative and deliver results. Be a creative thinker and confident with contributing ideas. Tech savvy and proficient in Microsoft Office Degree qualified in a related field highly desirable Experience with Hubspot and Wordpress Â  Opportunities for career progression as well as the opportunity to broaden your skill set, gain experience in other aspects of digital marketing and take ownership of your own campaigns and projects. Â  Benefits and Culture Great working environment with a fun and young culture Flexible start and finish times Balcony BBQs, a fully stocked fridge for both food and drinks Weâ€™re growing really fast â€“ so for the right people the career opportunities are huge Supportive and open management team (though the boss plays some really bad 80s & 90s tunes) Attractive staff benefits (including employee share plan) and a great location in the centre of the CBD";Digital Content Coordinator
1019;Brisbane;Trades & Services; idec solutions are an award winning industry leader, specialising in all aspects of commercial and industrial construction. Â  idec solutions provide an all in-house service for their clients, comprising a talented team of engineers, draftspersons, project managers, estimators, fabricators, riggers and administration team members. Steady growth has seen idec establish itself as a key player in the structural steel industry. idec is more than just a remarkable company to work for. With a dynamic leadership team recognising individual needs while applauding team efforts, idec is perfectly poised to capitalise on an enviable history of completed projects and recent key acquisitions. We are currently looking for Boilermakers /Â FabricatorsÂ to join the team in our fabrication workshop located at Hemmant. Key criteria for this position include: Cert III in Engineering (Fabrication Trade) is essential for the Boilermaker Position. Ability to read, interpret and fabricate according to workshop drawings. Willing to learn. A high level of motivation. A strong work ethic. A commitment to safe work practices. ;Boilermaker / Fabricator
